"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.848497441E2,6.501091546E1,2.547155677E1,1.573533669E1,1.419999957E0,2.175000000E2,3.790092468E0,2.500000000E0
1.858495190E2,6.501090529E1,2.547153852E1,1.586217032E1,1.500000000E0,2.155000000E2,3.790092468E0,2.500000000E0
1.868490505E2,6.501089509E1,2.547152323E1,1.589128689E1,1.470000029E0,2.108000031E2,3.790092468E0,2.500000000E0
1.878497495E2,6.501088426E1,2.547150689E1,1.623235431E1,1.539999962E0,2.091999969E2,3.790092468E0,2.500000000E0
1.888490598E2,6.501087458E1,2.547149087E1,1.615826018E1,1.500000000E0,2.121000061E2,3.790092468E0,2.500000000E0
1.898498620E2,6.501086410E1,2.547147343E1,1.630285522E1,1.529999971E0,2.128999939E2,3.790092468E0,2.500000000E0
1.908493847E2,6.501085445E1,2.547145573E1,1.582324339E1,1.440000057E0,2.138999939E2,3.790092468E0,2.500000000E0
1.918491000E2,6.501084454E1,2.547143624E1,1.582696894E1,1.490000010E0,2.141000061E2,3.790092468E0,2.500000000E0
1.928494808E2,6.501083380E1,2.547141819E1,1.599671052E1,1.480000019E0,2.136999969E2,3.790092468E0,2.500000000E0
1.938489708E2,6.501082203E1,2.547140256E1,1.636786868E1,1.529999971E0,2.136999969E2,3.790092468E0,2.500000000E0
1.948496547E2,6.501081050E1,2.547138752E1,1.637544036E1,1.509999990E0,2.143999939E2,3.790092468E0,2.500000000E0
1.958494895E2,6.501079904E1,2.547137199E1,1.642225758E1,1.519999981E0,2.111999969E2,3.790092468E0,2.500000000E0
1.968494435E2,6.501078659E1,2.547135815E1,1.635164366E1,1.490000010E0,2.091999969E2,3.790092468E0,2.500000000E0
1.978492142E2,6.501077475E1,2.547134438E1,1.639577561E1,1.470000029E0,2.088999939E2,3.790092468E0,2.500000000E0
1.988491504E2,6.501076338E1,2.547132835E1,1.575191894E1,1.490000010E0,2.106000061E2,3.790092468E0,2.500000000E0
1.998490815E2,6.501075122E1,2.547131197E1,1.582284526E1,1.470000029E0,2.098000031E2,3.790092468E0,2.500000000E0
2.008489693E2,6.501073996E1,2.547129519E1,1.556912521E1,1.450000048E0,2.116000061E2,3.790092468E0,2.500000000E0
2.018490407E2,6.501072953E1,2.547127889E1,1.575229454E1,1.460000038E0,2.106000061E2,3.790092468E0,2.500000000E0
2.028488973E2,6.501071898E1,2.547126326E1,1.566983895E1,1.450000048E0,2.108000031E2,3.790092468E0,2.500000000E0
2.038489126E2,6.501070914E1,2.547124516E1,1.560074963E1,1.440000057E0,2.143999939E2,3.790092468E0,2.500000000E0
2.048497811E2,6.501069808E1,2.547122701E1,1.539262268E1,1.480000019E0,2.120000000E2,3.790092468E0,2.500000000E0
2.058497674E2,6.501068710E1,2.547121182E1,1.526292608E1,1.419999957E0,2.098000031E2,3.790092468E0,2.500000000E0
2.068498797E2,6.501067474E1,2.547119711E1,1.507439214E1,1.460000038E0,2.076999969E2,3.790092468E0,2.500000000E0
2.078498128E2,6.501066288E1,2.547118478E1,1.523333133E1,1.409999967E0,2.060000000E2,3.790092468E0,2.500000000E0
2.088497326E2,6.501065352E1,2.547116957E1,1.499743294E1,1.419999957E0,2.095000000E2,3.790092468E0,2.500000000E0
2.098497179E2,6.501064347E1,2.547115296E1,1.495251372E1,1.450000048E0,2.130000000E2,3.790092468E0,2.500000000E0
